Frame numero: 29 | Tiempo total desde el inicio: 1675 milisegundos | Tiempo de procesamiento por cada frame: 33 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 13.4 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 1.66 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 30 | Tiempo total desde el inicio: 1709 milisegundos | Tiempo de procesamiento por cada frame: 32 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 12.5 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 2.15 milisegundos | Posprocesamiento: 13 milisegundos |
Frame numero: 31 | Tiempo total desde el inicio: 1745 milisegundos | Tiempo de procesamiento por cada frame: 35 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 13.3 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 2.8 milisegundos | Posprocesamiento: 14 milisegundos |
Frame numero: 32 | Tiempo total desde el inicio: 1780 milisegundos | Tiempo de procesamiento por cada frame: 34 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 12.8 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 3.93 milisegundos | Posprocesamiento: 14 milisegundos |
Frame numero: 33 | Tiempo total desde el inicio: 1810 milisegundos | Tiempo de procesamiento por cada frame: 30 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 12.2 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 0.923 milisegundos | Posprocesamiento: 14 milisegundos |
Frame numero: 34 | Tiempo total desde el inicio: 1843 milisegundos | Tiempo de procesamiento por cada frame: 31 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 12.3 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 0.809 milisegundos | Posprocesamiento: 15 milisegundos |
Frame numero: 35 | Tiempo total desde el inicio: 1871 milisegundos | Tiempo de procesamiento por cada frame: 27 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 13.7 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 0.807 milisegundos | Posprocesamiento: 9 milisegundos |
Frame numero: 36 | Tiempo total desde el inicio: 1903 milisegundos | Tiempo de procesamiento por cada frame: 31 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 12.7 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 1.58 milisegundos | Posprocesamiento: 12 milisegundos |
Frame numero: 37 | Tiempo total desde el inicio: 1934 milisegundos | Tiempo de procesamiento por cada frame: 31 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 13.5 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 3 milisegundos | Algoritmo de conteo: 1.79 milisegundos | Posprocesamiento: 11 milisegundos |
Frame numero: 38 | Tiempo total desde el inicio: 1966 milisegundos | Tiempo de procesamiento por cada frame: 31 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 12.2 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 0.845 milisegundos | Posprocesamiento: 15 milisegundos |
Frame numero: 39 | Tiempo total desde el inicio: 1997 milisegundos | Tiempo de procesamiento por cada frame: 30 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 12.6 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 1.46 milisegundos | Posprocesamiento: 12 milisegundos |
Frame numero: 40 | Tiempo total desde el inicio: 2031 milisegundos | Tiempo de procesamiento por cada frame: 33 milisegundos | Inicialización: 59 milisegundos | Preprocesamiento: 13.1 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 0 milisegundos | Calculo de contornos: 2 milisegundos | Algoritmo de conteo: 1.02 milisegundos | Posprocesamiento: 16 milisegundos |
