Frame numero: 61 | Tiempo total desde el inicio: 5570 milisegundos | Tiempo de procesamiento por cada frame: 152 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 44.5 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 86 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0.293 milisegundos | Posprocesamiento: 16 milisegundos |
Frame numero: 63 | Tiempo total desde el inicio: 5723 milisegundos | Tiempo de procesamiento por cada frame: 152 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 46.5 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 85 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0.453 milisegundos | Posprocesamiento: 15 milisegundos |
Frame numero: 65 | Tiempo total desde el inicio: 5874 milisegundos | Tiempo de procesamiento por cada frame: 150 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 39.2 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 89 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0.578 milisegundos | Posprocesamiento: 17 milisegundos |
Frame numero: 67 | Tiempo total desde el inicio: 6026 milisegundos | Tiempo de procesamiento por cada frame: 152 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 45.4 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 85 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0.524 milisegundos | Posprocesamiento: 16 milisegundos |
Frame numero: 69 | Tiempo total desde el inicio: 6181 milisegundos | Tiempo de procesamiento por cada frame: 154 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 39.4 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 86 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0.484 milisegundos | Posprocesamiento: 22 milisegundos |
Frame numero: 71 | Tiempo total desde el inicio: 6336 milisegundos | Tiempo de procesamiento por cada frame: 154 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 40 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 86 milisegundos | Calculo de contornos: 7 milisegundos | Algoritmo de conteo: 1.21 milisegundos | Posprocesamiento: 19 milisegundos |
Frame numero: 73 | Tiempo total desde el inicio: 6485 milisegundos | Tiempo de procesamiento por cada frame: 148 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 38.1 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 86 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0.461 milisegundos | Posprocesamiento: 17 milisegundos |
Frame numero: 75 | Tiempo total desde el inicio: 6639 milisegundos | Tiempo de procesamiento por cada frame: 153 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 43 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 88 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0.52 milisegundos | Posprocesamiento: 16 milisegundos |
Frame numero: 77 | Tiempo total desde el inicio: 6794 milisegundos | Tiempo de procesamiento por cada frame: 154 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 38.3 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 90 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.608 milisegundos | Posprocesamiento: 18 milisegundos |
Frame numero: 79 | Tiempo total desde el inicio: 6944 milisegundos | Tiempo de procesamiento por cada frame: 150 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 39 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 84 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0.614 milisegundos | Posprocesamiento: 20 milisegundos |
Frame numero: 81 | Tiempo total desde el inicio: 7093 milisegundos | Tiempo de procesamiento por cada frame: 149 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 42 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 85 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0.337 milisegundos | Posprocesamiento: 16 milisegundos |
Frame numero: 83 | Tiempo total desde el inicio: 7238 milisegundos | Tiempo de procesamiento por cada frame: 143 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 39.5 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 84 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0.384 milisegundos | Posprocesamiento: 15 milisegundos |
Frame numero: 85 | Tiempo total desde el inicio: 7380 milisegundos | Tiempo de procesamiento por cada frame: 142 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 40.4 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 79 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0.018 milisegundos | Posprocesamiento: 17 milisegundos |
Frame numero: 87 | Tiempo total desde el inicio: 7519 milisegundos | Tiempo de procesamiento por cada frame: 138 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 41.2 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 78 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0.012 milisegundos | Posprocesamiento: 14 milisegundos |
Frame numero: 89 | Tiempo total desde el inicio: 7674 milisegundos | Tiempo de procesamiento por cada frame: 154 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 44.3 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 88 milisegundos | Calculo de contornos: 4 milisegundos | Algoritmo de conteo: 0.01 milisegundos | Posprocesamiento: 16 milisegundos |
Frame numero: 91 | Tiempo total desde el inicio: 7846 milisegundos | Tiempo de procesamiento por cada frame: 172 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 46.9 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 100 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.289 milisegundos | Posprocesamiento: 18 milisegundos |
Frame numero: 93 | Tiempo total desde el inicio: 8031 milisegundos | Tiempo de procesamiento por cada frame: 185 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 50.8 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 105 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.531 milisegundos | Posprocesamiento: 22 milisegundos |
Frame numero: 95 | Tiempo total desde el inicio: 8223 milisegundos | Tiempo de procesamiento por cada frame: 191 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 51.4 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 109 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.335 milisegundos | Posprocesamiento: 23 milisegundos |
Frame numero: 97 | Tiempo total desde el inicio: 8432 milisegundos | Tiempo de procesamiento por cada frame: 208 milisegundos | Inicialización: 79 milisegundos | Preprocesamiento: 55.4 milisegundos | Sustraccion de fondo: 0 milisegundos | Transformaciones Morfologicas: 117 milisegundos | Calculo de contornos: 7 milisegundos | Algoritmo de conteo: 0.723 milisegundos | Posprocesamiento: 27 milisegundos |
