Frame numero: 46 | Tiempo total desde el inicio: 8101 milisegundos | Tiempo de procesamiento por cada frame: 185 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 3.2 milisegundos | Sustraccion de fondo: 40 milisegundos | Transformaciones Morfologicas: 118 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 17 milisegundos |
Frame numero: 47 | Tiempo total desde el inicio: 8288 milisegundos | Tiempo de procesamiento por cada frame: 187 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.82 milisegundos | Sustraccion de fondo: 41 milisegundos | Transformaciones Morfologicas: 116 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 20 milisegundos |
Frame numero: 48 | Tiempo total desde el inicio: 8473 milisegundos | Tiempo de procesamiento por cada frame: 184 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 4.1 milisegundos | Sustraccion de fondo: 38 milisegundos | Transformaciones Morfologicas: 115 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 20 milisegundos |
Frame numero: 49 | Tiempo total desde el inicio: 8659 milisegundos | Tiempo de procesamiento por cada frame: 185 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 3.73 milisegundos | Sustraccion de fondo: 39 milisegundos | Transformaciones Morfologicas: 116 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 20 milisegundos |
Frame numero: 50 | Tiempo total desde el inicio: 8866 milisegundos | Tiempo de procesamiento por cada frame: 207 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 3.76 milisegundos | Sustraccion de fondo: 46 milisegundos | Transformaciones Morfologicas: 135 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 16 milisegundos |
Frame numero: 51 | Tiempo total desde el inicio: 9052 milisegundos | Tiempo de procesamiento por cada frame: 184 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.32 milisegundos | Sustraccion de fondo: 47 milisegundos | Transformaciones Morfologicas: 112 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0 milisegundos | Posprocesamiento: 17 milisegundos |
Frame numero: 52 | Tiempo total desde el inicio: 9238 milisegundos | Tiempo de procesamiento por cada frame: 186 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.12 milisegundos | Sustraccion de fondo: 42 milisegundos | Transformaciones Morfologicas: 114 milisegundos | Calculo de contornos: 10 milisegundos | Algoritmo de conteo: 0.018 milisegundos | Posprocesamiento: 16 milisegundos |
Frame numero: 53 | Tiempo total desde el inicio: 9421 milisegundos | Tiempo de procesamiento por cada frame: 183 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.19 milisegundos | Sustraccion de fondo: 39 milisegundos | Transformaciones Morfologicas: 117 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.022 milisegundos | Posprocesamiento: 16 milisegundos |
Frame numero: 54 | Tiempo total desde el inicio: 9611 milisegundos | Tiempo de procesamiento por cada frame: 189 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.01 milisegundos | Sustraccion de fondo: 44 milisegundos | Transformaciones Morfologicas: 117 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.026 milisegundos | Posprocesamiento: 18 milisegundos |
Frame numero: 55 | Tiempo total desde el inicio: 9795 milisegundos | Tiempo de procesamiento por cada frame: 183 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.32 milisegundos | Sustraccion de fondo: 38 milisegundos | Transformaciones Morfologicas: 115 milisegundos | Calculo de contornos: 7 milisegundos | Algoritmo de conteo: 0.021 milisegundos | Posprocesamiento: 20 milisegundos |
Frame numero: 56 | Tiempo total desde el inicio: 9978 milisegundos | Tiempo de procesamiento por cada frame: 183 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.27 milisegundos | Sustraccion de fondo: 41 milisegundos | Transformaciones Morfologicas: 111 milisegundos | Calculo de contornos: 5 milisegundos | Algoritmo de conteo: 0.015 milisegundos | Posprocesamiento: 22 milisegundos |
Frame numero: 57 | Tiempo total desde el inicio: 10170 milisegundos | Tiempo de procesamiento por cada frame: 191 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.36 milisegundos | Sustraccion de fondo: 42 milisegundos | Transformaciones Morfologicas: 122 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.02 milisegundos | Posprocesamiento: 19 milisegundos |
Frame numero: 58 | Tiempo total desde el inicio: 10393 milisegundos | Tiempo de procesamiento por cada frame: 222 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 3.34 milisegundos | Sustraccion de fondo: 40 milisegundos | Transformaciones Morfologicas: 152 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.239 milisegundos | Posprocesamiento: 19 milisegundos |
Frame numero: 59 | Tiempo total desde el inicio: 10625 milisegundos | Tiempo de procesamiento por cada frame: 232 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.18 milisegundos | Sustraccion de fondo: 43 milisegundos | Transformaciones Morfologicas: 160 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.229 milisegundos | Posprocesamiento: 19 milisegundos |
Frame numero: 60 | Tiempo total desde el inicio: 10845 milisegundos | Tiempo de procesamiento por cada frame: 219 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.35 milisegundos | Sustraccion de fondo: 39 milisegundos | Transformaciones Morfologicas: 149 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.3 milisegundos | Posprocesamiento: 20 milisegundos |
Frame numero: 61 | Tiempo total desde el inicio: 11041 milisegundos | Tiempo de procesamiento por cada frame: 196 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.34 milisegundos | Sustraccion de fondo: 41 milisegundos | Transformaciones Morfologicas: 125 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.282 milisegundos | Posprocesamiento: 19 milisegundos |
Frame numero: 62 | Tiempo total desde el inicio: 11249 milisegundos | Tiempo de procesamiento por cada frame: 208 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.05 milisegundos | Sustraccion de fondo: 49 milisegundos | Transformaciones Morfologicas: 128 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.454 milisegundos | Posprocesamiento: 20 milisegundos |
Frame numero: 63 | Tiempo total desde el inicio: 11444 milisegundos | Tiempo de procesamiento por cada frame: 195 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.13 milisegundos | Sustraccion de fondo: 43 milisegundos | Transformaciones Morfologicas: 124 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.32 milisegundos | Posprocesamiento: 18 milisegundos |
Frame numero: 64 | Tiempo total desde el inicio: 11636 milisegundos | Tiempo de procesamiento por cada frame: 191 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.06 milisegundos | Sustraccion de fondo: 43 milisegundos | Transformaciones Morfologicas: 119 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.386 milisegundos | Posprocesamiento: 19 milisegundos |
Frame numero: 65 | Tiempo total desde el inicio: 11829 milisegundos | Tiempo de procesamiento por cada frame: 193 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.64 milisegundos | Sustraccion de fondo: 47 milisegundos | Transformaciones Morfologicas: 118 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.036 milisegundos | Posprocesamiento: 18 milisegundos |
Frame numero: 66 | Tiempo total desde el inicio: 12049 milisegundos | Tiempo de procesamiento por cada frame: 219 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.36 milisegundos | Sustraccion de fondo: 45 milisegundos | Transformaciones Morfologicas: 146 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.295 milisegundos | Posprocesamiento: 17 milisegundos |
Frame numero: 67 | Tiempo total desde el inicio: 12243 milisegundos | Tiempo de procesamiento por cada frame: 193 milisegundos | Inicialización: 116 milisegundos | Preprocesamiento: 2.1 milisegundos | Sustraccion de fondo: 46 milisegundos | Transformaciones Morfologicas: 120 milisegundos | Calculo de contornos: 6 milisegundos | Algoritmo de conteo: 0.489 milisegundos | Posprocesamiento: 18 milisegundos |
